Date,Close,Dividend
,VK.PA,
2000-01-03,19.931726,0.000000
2000-01-04,19.565540,0.000000
2000-01-05,19.004671,0.000000
2000-01-06,20.163498,0.000000
2000-01-07,21.924906,0.000000
2000-01-10,21.841471,0.000000
2000-01-11,21.313047,0.000000
2000-01-12,21.554085,0.000000
2000-01-13,21.415022,0.000000
2000-01-14,21.785841,0.000000
2000-01-17,22.342075,0.000000
2000-01-18,21.785841,0.000000
2000-01-19,22.249371,0.000000
2000-01-20,23.524075,0.000000
2000-01-21,22.736078,0.000000
2000-01-24,22.254007,0.000000
2000-01-25,21.762669,0.000000
2000-01-26,22.249371,0.000000
2000-01-27,22.712898,0.000000
2000-01-28,22.207659,0.000000
2000-01-31,22.318905,0.000000
2000-02-01,20.627028,0.000000
2000-02-02,21.646790,0.000000
2000-02-03,20.395262,0.000000
2000-02-04,21.308411,0.000000
2000-02-07,20.487967,0.000000
2000-02-08,20.580667,0.000000
2000-02-09,19.704605,0.000000
2000-02-10,19.607264,0.000000
2000-02-11,19.004671,0.000000
2000-02-14,18.911968,0.000000
2000-02-15,18.879522,0.000000
2000-02-16,19.190086,0.000000
2000-02-17,18.911968,0.000000
2000-02-18,18.731190,0.000000
2000-02-21,18.703377,0.000000
2000-02-22,18.680206,0.000000
2000-02-23,19.004671,0.000000
2000-02-24,19.051025,0.000000
2000-02-25,19.676790,0.000000
2000-02-28,19.231804,0.000000
2000-02-29,19.468206,0.000000
2000-03-01,19.236441,0.000000
2000-03-02,19.375494,0.000000
2000-03-03,18.726557,0.000000
2000-03-06,18.031265,0.000000
2000-03-07,18.054445,0.000000
2000-03-08,18.536510,0.000000
2000-03-09,17.845854,0.000000
2000-03-10,18.161053,0.000000
2000-03-13,17.706793,0.000000
2000-03-14,17.614086,0.000000
2000-03-15,17.841217,0.000000
2000-03-16,17.641899,0.000000
2000-03-17,17.845854,0.000000
2000-03-20,17.391594,0.000000
2000-03-21,16.867805,0.000000
2000-03-22,17.150560,0.000000
2000-03-23,17.118111,0.000000
2000-03-24,17.150560,0.000000
2000-03-27,17.150560,0.000000
2000-03-28,16.872440,0.000000
2000-03-29,16.223503,0.000000
2000-03-30,15.991738,0.000000
2000-03-31,15.064677,0.000000
2000-04-03,16.269857,0.000000
2000-04-04,18.304750,0.000000
2000-04-05,18.527239,0.000000
2000-04-06,18.610674,0.000000
2000-04-07,19.004671,0.000000
2000-04-10,19.834391,0.000000
2000-04-11,19.421848,0.000000
2000-04-12,19.375494,0.000000
2000-04-13,19.463566,0.000000
2000-04-14,18.077614,0.000000
2000-04-17,17.475027,0.000000
2000-04-18,17.521381,0.000000
2000-04-19,17.057852,0.000000
2000-04-20,18.077614,0.000000
2000-04-21,18.077614,0.000000
2000-04-24,18.077614,0.000000
2000-04-25,18.453075,0.000000
2000-04-26,18.800722,0.000000
2000-04-27,18.545780,0.000000
2000-04-28,18.587494,0.000000
2000-05-01,18.587494,0.000000
2000-05-02,18.309380,0.000000
2000-05-03,18.402088,0.000000
2000-05-04,18.309380,0.000000
2000-05-05,18.541143,0.000000
2000-05-08,18.541143,0.000000
2000-05-09,18.541143,0.000000
2000-05-10,18.541143,0.000000
2000-05-11,18.638487,0.000000
2000-05-12,19.602627,0.000000
2000-05-15,20.418432,0.000000
2000-05-16,20.121777,0.000000
2000-05-17,20.395262,0.000000
2000-05-18,20.223751,0.000000
2000-05-19,19.584084,0.000000
2000-05-22,19.820484,0.000000
2000-05-23,19.078844,0.000000
2000-05-24,18.341824,0.000000
2000-05-25,19.407940,0.000000
2000-05-26,19.051025,0.000000
2000-05-29,18.462347,0.000000
2000-05-30,18.008087,0.000000
2000-05-31,18.077614,0.000000
2000-06-01,18.072981,0.000000
2000-06-02,18.072981,0.000000
2000-06-05,17.984905,0.000000
2000-06-06,17.614086,0.000000
2000-06-07,17.729971,0.000000
2000-06-08,17.521381,0.000000
2000-06-09,17.475027,0.000000
2000-06-12,17.475027,0.000000
2000-06-13,17.753147,0.000000
2000-06-14,18.077614,0.000000
2000-06-15,18.059072,0.000000
2000-06-16,19.282789,0.000000
2000-06-19,20.117140,0.000000
2000-06-20,20.163498,0.000000
2000-06-21,19.792669,0.000000
2000-06-22,19.978085,0.000000
2000-06-23,20.024437,0.000000
2000-06-26,20.172764,0.000000
2000-06-27,21.693142,0.000000
2000-06-28,21.646790,0.000000
2000-06-29,20.395262,0.000000
